iter	RMSE
419	34118.33188
420	34103.81427
421	34099.43133
422	34082.10209
423	34069.48373
424	34061.49921
425	34050.58034
426	34035.6894
427	34020.95712
428	34000.04472
429	33987.33188
430	33980.19241
431	33963.93284
432	33953.51749
433	33938.94151
434	33905.73412
435	33892.76025
436	33871.61142
437	33862.29923
438	33858.19278
439	33852.85316
440	33839.88825
441	33833.05319
442	33820.77827
443	33812.97519
444	33798.80165
445	33787.87244
446	33772.74014
447	33762.26276
448	33756.31342
449	33749.80884
450	33736.80646
451	33728.34203
452	33718.36768
453	33708.75424
454	33702.89366
455	33689.04301
456	33685.06739
457	33674.85708
458	33661.85711
459	33644.27258
460	33630.19629
461	33618.22147
462	33610.53415
463	33606.16861
464	33594.04326
465	33570.11537
466	33550.83574
467	33542.5109
468	33537.42197
469	33528.14475
470	33515.73838
471	33514.17242
472	33490.67673
473	33481.30786
474	33470.11536
475	33467.97437
476	33466.76329
477	33452.25432
478	33440.11544
479	33420.64704
480	33409.14461
481	33397.15825
482	33360.35263
483	33349.87536
484	33338.57055
485	33327.85058
486	33320.00474
487	33307.72995
488	33295.21308
489	33283.33049
490	33271.08753
491	33266.67547
492	33265.96817
493	33254.58685
494	33244.02108
495	33232.90012
496	33228.28097
497	33218.51171
498	33197.07678
499	33183.26577
500	33165.85877
501	33146.92142
502	33135.0104
503	33117.71566
504	33100.76594
505	33088.79567
506	33077.55776
507	33063.99864
508	33047.65107
509	33024.18393
510	33017.01477
511	33014.07164
512	33012.55772
513	33000.64084
514	32991.00765
515	32978.74601
516	32956.03867
517	32945.4527
518	32920.10789
519	32916.05126
520	32904.94494
521	32891.23037
522	32876.13295
523	32860.35471
524	32839.48556
525	32828.89602
526	32810.00071
527	32800.39253
528	32792.13014
529	32785.39216
530	32750.05584
531	32745.84198
532	32732.00351
533	32717.88226
534	32710.03459
535	32703.79233
536	32692.05229
537	32673.62472
538	32672.92657
539	32659.30134
540	32648.19027
541	32633.74069
542	32626.28833
543	32618.5918
544	32600.81001
545	32583.59925
546	32576.0573
547	32558.81622
548	32558.07986
549	32557.72773
550	32548.8397
551	32538.58997
552	32522.91398
553	32511.49659
554	32495.86269
555	32483.36122
556	32475.35814
557	32464.13396
558	32452.40707
559	32446.12413
560	32442.3356
561	32434.93215
562	32429.1409
563	32420.94426
564	32410.63686
565	32391.74847
566	32379.74241
567	32368.7465
568	32361.901
569	32348.03849
570	32339.06435
571	32320.9362
572	32303.15026
573	32291.75084
574	32273.35834
575	32261.24626
576	32250.58703
577	32241.65724
578	32232.34436
579	32218.9406
580	32203.33106
581	32183.03714
582	32171.66117
583	32166.38619
584	32154.05561
585	32144.35279
586	32133.28093
587	32126.01563
588	32122.45471
589	32114.09468
590	32101.43108
591	32091.43008
592	32089.88513
593	32081.28918
594	32074.30749
595	32064.72329
596	32048.19267
597	32036.5989
598	32025.56463
599	32014.41516
600	32008.03262
601	32004.13174
602	32001.8761
603	31994.19941
604	31983.62954
605	31974.18412
606	31956.91749
607	31946.99942
608	31936.21769
609	31928.17057
610	31923.28908
611	31921.92637
612	31909.60806
613	31901.51491
614	31891.59142
615	31881.27163
616	31878.33422
617	31867.84891
618	31855.23378
619	31839.7103
620	31822.27132
621	31807.66154
622	31798.51953
623	31793.6465
624	31784.48748
625	31784.0129
626	31778.3818
627	31770.54399
628	31763.43787
629	31756.05
630	31754.60911
631	31744.10169
632	31740.37265
633	31732.04009
634	31722.60497
635	31718.95285
636	31712.15711
637	31705.74559
638	31690.51309
639	31682.22043
640	31674.21387
641	31662.10547
642	31656.55266
643	31653.32697
644	31647.93727
645	31633.66724
646	31620.08593
647	31618.23231
648	31610.55
649	31602.41214
